"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
1,"Amendment 78 (CONSTITUTIONAL) (Vote For 1)","Yes/For","Y",646983,43.03,3885280,1560661,64,64,"0","0"
2,"Amendment 78 (CONSTITUTIONAL) (Vote For 1)","No/Against","N",856704,56.97,3885280,1560661,64,64,"0","0"
3,"Proposition 119 (STATUTORY) (Vote For 1)","Yes/For","Y",701479,45.75,3885280,1560661,64,64,"0","0"
4,"Proposition 119 (STATUTORY) (Vote For 1)","No/Against","N",831670,54.25,3885280,1560661,64,64,"0","0"
5,"Proposition 120 (STATUTORY) (Vote For 1)","Yes/For","Y",652382,42.96,3885280,1560661,64,64,"0","0"
6,"Proposition 120 (STATUTORY) (Vote For 1)","No/Against","N",866197,57.04,3885280,1560661,64,64,"0","0"
7,"Adams-Arapahoe School District 28J Board of Directors - At-Large (Vote For 4)","Anne Keke","1",19461,20.10,3885280,1560661,2,2,"0","0"
8,"Adams-Arapahoe School District 28J Board of Directors - At-Large (Vote For 4)","Debbie Gerkin","2",17291,17.86,3885280,1560661,2,2,"0","0"
9,"Adams-Arapahoe School District 28J Board of Directors - At-Large (Vote For 4)","Danielle Tomwing","3",13485,13.93,3885280,1560661,2,2,"0","0"
10,"Adams-Arapahoe School District 28J Board of Directors - At-Large (Vote For 4)","Michael Carter","4",17801,18.38,3885280,1560661,2,2,"0","0"
11,"Adams-Arapahoe School District 28J Board of Directors - At-Large (Vote For 4)","Tramaine Duncan","5",14751,15.23,3885280,1560661,2,2,"0","0"
12,"Adams-Arapahoe School District 28J Board of Directors - At-Large (Vote For 4)","Christy Cummings","6",14047,14.51,3885280,1560661,2,2,"0","0"
13,"Bennett School District 29J School Director - At-Large - 2 Year Term (Vote For 1)","James DuBois","1",1308,100.00,3885280,1560661,2,2,"0","0"
14,"Bennett School District 29J School Director - At-Large - 4 Year Term (Vote For 2)","Craig Reams","1",757,27.85,3885280,1560661,2,2,"0","0"
15,"Bennett School District 29J School Director - At-Large - 4 Year Term (Vote For 2)","Andrew Thornton","2",959,35.28,3885280,1560661,2,2,"0","0"
16,"Bennett School District 29J School Director - At-Large - 4 Year Term (Vote For 2)","Kyle Meyer","3",1002,36.87,3885280,1560661,2,2,"0","0"
17,"City of Aurora Council Member - At-Large (Vote For 2)","Candice Bailey","1",22903,18.19,3885280,1560661,3,3,"0","0"
18,"City of Aurora Council Member - At-Large (Vote For 2)","Hanna Bogale","2",9010,7.15,3885280,1560661,3,3,"0","0"
19,"City of Aurora Council Member - At-Large (Vote For 2)","Becky Hogan","3",15336,12.18,3885280,1560661,3,3,"0","0"
20,"City of Aurora Council Member - At-Large (Vote For 2)","Danielle Jurinsky","4",26235,20.83,3885280,1560661,3,3,"0","0"
